OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
GU120573.1.1398	Bacteria	Saccharibacteria	uncultured cyanobacterium	NA	NA	NA	NA
GU127175.1.1203	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	uncultured Flavobacteriia bacterium
GU127515.1.928	Archaea	Hadesarchaea	uncultured archaeon	NA	NA	NA	NA
GU127547.1.977	Archaea	Woesearchaeota (DHVEG-6)	uncultured archaeon	NA	NA	NA	NA
GU127730.1.1462	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	uncultured bacterium	NA
GU127766.1.1465	Bacteria	Acidobacteria	Subgroup 2	uncultured bacterium	NA	NA	NA
GU127822.1.1428	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU127869.1.1432	Archaea	Thaumarchaeota	FHMa11 terrestrial group	uncultured archaeon	NA	NA	NA
GU134927.1.1409	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Telmatospirillum	bacterium enrichment culture clone SBIb49
GU135472.1.1418	Archaea	Aenigmarchaeota	Deep Sea Euryarchaeotic Group(DSEG)	uncultured euryarchaeote	NA	NA	NA
GU136489.1.1369	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. DY1
GU143095.1.1429	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella	Reichenbachiella faecimaris
GU145389.1.1490	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	uncultured bacterium
